,,Combination1
F4,Times1,27.013701137400297
F4,Times2,49.33345194073449
F4,Times3,28.823694026657243
F4,Times4,31.16637033425791
F4,Times5,209.57568953413013
F4,Times6,40.03541357101376
F4,Times7,59.79303075025124
F4,Times8,238.35145918650392
F4,Times9,23.8403225063417
F4,Times10,15.589145306071964
F4,Times11,49.79742669018903
F4,Times12,12.772461313563698
F4,Times13,13.793155165959348
F4,Times14,84.99446424125856
F4,Times15,39.06189391650386
F4,Times16,65.78633805124875
F4,Times17,35.40637275569529
F4,Times18,164.48949651712897
F4,Times19,51.09157019799717
F4,Times20,50.13039936111262
F10,Times1,16.140200157035427
F10,Times2,10.09951676757557
F10,Times3,11.199663106194533
F10,Times4,5.6575583179115885
F10,Times5,11.571686214590104
F10,Times6,0.5283913905454742
F10,Times7,10.127509103563169
F10,Times8,3.932883887929348
F10,Times9,10.469119713797214
F10,Times10,9.294094742954378
F10,Times11,3.165472196330147
F10,Times12,3.815132085721299
F10,Times13,5.137811185701001
F10,Times14,8.337776755817279
F10,Times15,11.813005122982233
F10,Times16,9.219503231166426
F10,Times17,3.5884128547357004
F10,Times18,5.594274041146673
F10,Times19,6.235251044937343
F10,Times20,3.054525851493591
