,,Combination1
F4,Times1,0.5768993103569744
F4,Times2,0.6719637709109731
F4,Times3,0.5946889852376729
F4,Times4,0.5399548317781884
F4,Times5,0.6226618357415952
F4,Times6,0.6180630025753423
F4,Times7,0.5844026452390871
F4,Times8,0.7225190387750869
F4,Times9,0.5520683733196768
F4,Times10,0.5545692856531148
F4,Times11,0.6002475858253633
F4,Times12,0.4302460153363832
F4,Times13,0.6203393404873867
F4,Times14,0.685298947064074
F4,Times15,0.5005465906745257
F4,Times16,0.5052809778919489
F4,Times17,0.4493648791576397
F4,Times18,0.6213035565445097
F4,Times19,0.4512575697500638
F4,Times20,0.6310082366492582
F10,Times1,0.021005018005116227
F10,Times2,0.017913913693558214
F10,Times3,0.020308158459979353
F10,Times4,0.026771486975192715
F10,Times5,0.023061146673395427
F10,Times6,0.036139003698341554
F10,Times7,0.0195009556143404
F10,Times8,0.022153759442112175
F10,Times9,0.026920727854321314
F10,Times10,0.029664029517434187
F10,Times11,0.021704938650707106
F10,Times12,0.02164262481233692
F10,Times13,0.028785574584809126
F10,Times14,0.025317512289479538
F10,Times15,0.02326813567558972
F10,Times16,0.021729779391701953
F10,Times17,0.017556862297603004
F10,Times18,0.024563272322819074
F10,Times19,0.02236974609101594
F10,Times20,0.021975994512541064
