,,Combination1
F8,Times1,-18767.466528283498
F8,Times2,-18541.86843340789
F8,Times3,-18765.284856260387
F8,Times4,-18182.96570847842
F8,Times5,-18519.601097771385
F8,Times6,-17717.49614647191
F8,Times7,-18650.093567033116
F8,Times8,-18503.380781523418
F8,Times9,-18872.74942777615
F8,Times10,-18542.861469730986
F8,Times11,-18656.511620421606
F8,Times12,-18172.395738336687
F8,Times13,-17815.437315245214
F8,Times14,-19135.522371381478
F8,Times15,-18423.332727525918
F8,Times16,-17958.717143158057
F8,Times17,-18778.78135831351
F8,Times18,-18427.698148596144
F8,Times19,-18544.66181561108
F8,Times20,-18042.637929899105
F9,Times1,10.455621743859558
F9,Times2,5.887736290661941
F9,Times3,7.988543211877504
F9,Times4,7.494614691414943
F9,Times5,8.511651514743459
F9,Times6,10.723539370112963
F9,Times7,11.132503736526496
F9,Times8,11.53303562557959
F9,Times9,11.285787624183467
F9,Times10,6.485832698043952
F9,Times11,9.46592601133002
F9,Times12,9.807183993739528
F9,Times13,9.51094029747648
F9,Times14,10.474852304777622
F9,Times15,7.317144453854215
F9,Times16,13.014351377978272
F9,Times17,10.044252714218231
F9,Times18,9.183787011463687
F9,Times19,10.488570479993884
F9,Times20,7.861896558266016
