,,Combination1
F8,Times1,40398.0
F8,Times2,40398.0
F8,Times3,40398.0
F8,Times4,40398.0
F8,Times5,40398.0
F8,Times6,40398.0
F8,Times7,40398.0
F8,Times8,40398.0
F8,Times9,40398.0
F8,Times10,40398.0
F8,Times11,40398.0
F8,Times12,40398.0
F8,Times13,40398.0
F8,Times14,40398.0
F8,Times15,40398.0
F8,Times16,40398.0
F8,Times17,40398.0
F8,Times18,40398.0
F8,Times19,40398.0
F8,Times20,40398.0
F9,Times1,40398.0
F9,Times2,40398.0
F9,Times3,40398.0
F9,Times4,40398.0
F9,Times5,40398.0
F9,Times6,40398.0
F9,Times7,40398.0
F9,Times8,40398.0
F9,Times9,40398.0
F9,Times10,40398.0
F9,Times11,40398.0
F9,Times12,40398.0
F9,Times13,40398.0
F9,Times14,40398.0
F9,Times15,40398.0
F9,Times16,40398.0
F9,Times17,40398.0
F9,Times18,40398.0
F9,Times19,40398.0
F9,Times20,40398.0
