,,Combination1
F8,Times1,0.0
F8,Times2,59.56628980556201
F8,Times3,13.894361081948205
F8,Times4,78.57958661537913
F8,Times5,349.7191497041515
F8,Times6,257.346715846319
F8,Times7,497.0149995826647
F8,Times8,298.6187670281725
F8,Times9,0.0
F8,Times10,72.95017402613833
F8,Times11,5.431282438278743
F8,Times12,1.0389713288700477
F8,Times13,26.100238778540813
F8,Times14,78.7255150426057
F8,Times15,213.66848777790852
F8,Times16,115.42542058568637
F8,Times17,377.133765816358
F8,Times18,143.9631564400537
F8,Times19,240.93176073113463
F8,Times20,205.1396543021349
F9,Times1,6.84052158776937
F9,Times2,3.5594689665585406
F9,Times3,2.4440034327092963
F9,Times4,5.202107292643504
F9,Times5,0.0
F9,Times6,2.210421103660349
F9,Times7,1.8957987380018373
F9,Times8,0.01030044789153282
F9,Times9,0.846362456833572
F9,Times10,2.862659204406988
F9,Times11,2.269935181328421
F9,Times12,0.6779125376968477
F9,Times13,0.9592134178034833
F9,Times14,0.004945029705256759
F9,Times15,1.1257957768640237
F9,Times16,3.0429345961359333
F9,Times17,3.78397184983368
F9,Times18,2.8080828488596103
F9,Times19,4.100415852664834
F9,Times20,0.29991162763872564
