,,Combination1
F1,Times1,9552.785787465522
F1,Times2,167.437415027298
F1,Times3,246.87901925558964
F1,Times4,273.703319996652
F1,Times5,421.01435448296667
F1,Times6,344.1099899164181
F1,Times7,275.20175538668263
F1,Times8,270.87549818432274
F1,Times9,171.96190797422932
F1,Times10,236.2426135421438
F1,Times11,479.27500448309195
F1,Times12,375.14549267057646
F1,Times13,214.08830198291002
F1,Times14,152.7836241513975
F1,Times15,252.25853221429975
F1,Times16,171.86506329916972
F1,Times17,300.1777466987521
F1,Times18,172.0179406495115
F1,Times19,222.37227136119526
F1,Times20,258.6956652299696
F2,Times1,1.9110525133285138e+48
F2,Times2,51.24556313504464
F2,Times3,55.35949649069495
F2,Times4,71.56146384104235
F2,Times5,95.5881545203708
F2,Times6,60.05487757604147
F2,Times7,60.48529202448411
F2,Times8,173.41718783487752
F2,Times9,71.50690500065687
F2,Times10,61.12323404888402
F2,Times11,49.60365917377865
F2,Times12,56.82703929689687
F2,Times13,53.62404034804304
F2,Times14,90.05258595765648
F2,Times15,65.07888994182747
F2,Times16,78.59387325000058
F2,Times17,66.66826420711611
F2,Times18,63.985310036881735
F2,Times19,1792280.168273059
F2,Times20,43.02642767287432
F3,Times1,15289.428346299846
F3,Times2,9171.41305435917
F3,Times3,11105.573368062831
F3,Times4,12683.21725315967
F3,Times5,15841.947305718719
F3,Times6,33538.598380946096
F3,Times7,12165.99110631168
F3,Times8,15189.291122843371
F3,Times9,12919.833372195046
F3,Times10,20074.885522914534
F3,Times11,15893.037179485918
F3,Times12,9144.29272399465
F3,Times13,13438.240386427466
F3,Times14,8802.34597009724
F3,Times15,15215.584719564584
F3,Times16,8879.738049631842
F3,Times17,58017.03476653163
F3,Times18,16612.832422121042
F3,Times19,12086.743874530492
F3,Times20,12230.678449411775
F5,Times1,12373.832696656571
F5,Times2,14684.631163800927
F5,Times3,10241.01146228406
F5,Times4,49514.15060642924
F5,Times5,25131.94725816178
F5,Times6,5891.753713573023
F5,Times7,22207.789991666847
F5,Times8,18884.55017987928
F5,Times9,11632.099498268199
F5,Times10,21286846.04456149
F5,Times11,22093.869376067847
F5,Times12,15765.069877877811
F5,Times13,12185.553327652853
F5,Times14,10427.430306884771
F5,Times15,10091.38992574769
F5,Times16,23098075.778759073
F5,Times17,22950.52813070508
F5,Times18,35638.65035539678
F5,Times19,15452.57153276412
F5,Times20,23232.403591198676
F6,Times1,221.65270046726798
F6,Times2,1379.7817336460967
F6,Times3,348.9036893641891
F6,Times4,222.91068044701356
F6,Times5,1695.5640085834043
F6,Times6,43731.149312274065
F6,Times7,289.41029085221334
F6,Times8,191.35360144102765
F6,Times9,138.5813267759318
F6,Times10,318.01595308096523
F6,Times11,588.2182831802909
F6,Times12,424.4856661455804
F6,Times13,422.47004537388506
F6,Times14,16215.078522290825
F6,Times15,131.4498210354519
F6,Times16,302.1764627925564
F6,Times17,341.2202227928225
F6,Times18,177.60210756766287
F6,Times19,249.52708501098346
F6,Times20,297.8857013726692
F7,Times1,0.00589113516083237
F7,Times2,0.0029259490610296524
F7,Times3,0.004567950382378385
F7,Times4,0.007802493560135206
F7,Times5,0.002896996691144353
F7,Times6,0.00902342235856944
F7,Times7,0.005608848172814287
F7,Times8,0.003553080081847307
F7,Times9,0.006547752935525489
F7,Times10,0.0035071194713387
F7,Times11,0.4153055307695772
F7,Times12,0.009215055240454635
F7,Times13,0.006502920534247373
F7,Times14,0.0026662247551786245
F7,Times15,0.006908100697269867
F7,Times16,0.003192392066742591
F7,Times17,0.003536116969932877
F7,Times18,0.00641958176970448
F7,Times19,0.008114211585504294
F7,Times20,9.431949799688072
F11,Times1,4.182281123762914
F11,Times2,635.6396782105186
F11,Times3,3.422621968162535
F11,Times4,3.2777033554109027
F11,Times5,4.514444656398155
F11,Times6,621.6085514539163
F11,Times7,4.042655922573466
F11,Times8,2.793653981510312
F11,Times9,5.426820888749
F11,Times10,4.764651358954371
F11,Times11,2.8000594492097477
F11,Times12,3.9830390812222594
F11,Times13,3.656752994104841
F11,Times14,104.7002798651743
F11,Times15,5.644780358296208
F11,Times16,4.852031646263434
F11,Times17,3.666271229635294
F11,Times18,3.13125662168084
F11,Times19,3.458296297546638
F11,Times20,3.7837870282256705
F12,Times1,2.230842591694687
F12,Times2,14.731221766078535
F12,Times3,58666848.158155926
F12,Times4,3.679340905397796
F12,Times5,3.402650857216563
F12,Times6,1.5786184565978343
F12,Times7,1.8098043116428209
F12,Times8,2.110482539164374
F12,Times9,3.638213016023001
F12,Times10,2.7966266884918274
F12,Times11,3.035261426145582
F12,Times12,2.6242123058032103
F12,Times13,2.4032765493716832
F12,Times14,3.4439538718836546
F12,Times15,1.4897984618755278
F12,Times16,4.059972669192642
F12,Times17,2.5859881689258044
F12,Times18,2.293155923810462
F12,Times19,2.909701076206462
F12,Times20,4.662936880558315
F13,Times1,114580271.14738701
F13,Times2,17.23544830087809
F13,Times3,26.219230878423364
F13,Times4,38.66223176610709
F13,Times5,21.31635507724466
F13,Times6,22.222613134607016
F13,Times7,50.51005489596235
F13,Times8,41.78448237820203
F13,Times9,39.44222159103282
F13,Times10,47.39562031865479
F13,Times11,34.743394529782286
F13,Times12,28.472288526799517
F13,Times13,33.9546307268321
F13,Times14,30.013720518948954
F13,Times15,28.68794855198693
F13,Times16,40.33689796460921
F13,Times17,13343166.480575854
F13,Times18,13491.352294080609
F13,Times19,31.585677725812857
F13,Times20,24.450012269289815
F14,Times1,0.999418864228863
F14,Times2,0.9980038379084956
F14,Times3,0.998003850842682
F14,Times4,0.9980038382202502
F14,Times5,0.9980038382797618
F14,Times6,0.998003979657341
F14,Times7,0.9999765316902833
F14,Times8,0.9980038517766978
F14,Times9,0.9980038393600779
F14,Times10,0.9980038386046205
F14,Times11,0.998083591747888
F14,Times12,0.9980038394746438
F14,Times13,0.9980038378960472
F14,Times14,0.9980038378089371
F14,Times15,0.9980038379518743
F14,Times16,0.9980038400919764
F14,Times17,0.9980038380677232
F14,Times18,0.9980038380721242
F14,Times19,0.9980044655908599
F14,Times20,0.9980038381620581
F15,Times1,0.0025139577503680284
F15,Times2,0.000760015103567002
F15,Times3,0.0008431841268485115
F15,Times4,0.0020029163033786477
F15,Times5,0.0012361090169057958
F15,Times6,0.0008367440611528209
F15,Times7,0.0009008431908934956
F15,Times8,0.0007898544150711913
F15,Times9,0.0009012851845037305
F15,Times10,0.02041989026267074
F15,Times11,0.0006884261029906406
F15,Times12,0.02038999908554825
F15,Times13,0.001495658273972091
F15,Times14,0.0008263796638156997
F15,Times15,0.0008741011420370274
F15,Times16,0.0007312122636716721
F15,Times17,0.0008427039631739835
F15,Times18,0.0015762985897035176
F15,Times19,0.00046478700151029865
F15,Times20,0.000751421973568206
F16,Times1,-1.0315574433782475
F16,Times2,-1.031544570326921
F16,Times3,-1.0315087366123836
F16,Times4,-1.0316126731524136
F16,Times5,-1.0315030842120136
F16,Times6,-1.0315992637939524
F16,Times7,-1.0315633119538037
F16,Times8,-1.031613467771413
F16,Times9,-1.031588236372579
F16,Times10,-1.0315163399917666
F16,Times11,-1.0316077707419455
F16,Times12,-1.028291912702591
F16,Times13,-1.0315423198541345
F16,Times14,-1.0315913518865774
F16,Times15,-1.0315811579661376
F16,Times16,-1.031613071397489
F16,Times17,-1.031618412431163
F16,Times18,-1.0315181865582228
F16,Times19,-1.0315475974866042
F16,Times20,-1.0315570899706001
F17,Times1,0.39791402400097553
F17,Times2,0.39805065298236997
F17,Times3,0.3979163748276058
F17,Times4,0.3980639827546675
F17,Times5,0.3979266945440685
F17,Times6,0.3979326374587444
F17,Times7,0.3979378777227218
F17,Times8,0.3979130557429702
F17,Times9,0.39794339328195605
F17,Times10,0.39802968613065204
F17,Times11,0.3980494130924388
F17,Times12,0.3980851645902348
F17,Times13,0.39804411081911795
F17,Times14,0.39796234759649174
F17,Times15,0.3979853360959087
