,,Combination1
F1,Times1,1102.7301558462225
F1,Times2,1434.8509879948379
F1,Times3,1129.3772256418904
F1,Times4,896.2730640842732
F1,Times5,1591.2666402206253
F1,Times6,877.347505679623
F1,Times7,643.3384971266186
F1,Times8,2367.264525688987
F1,Times9,1224.7763267144044
F1,Times10,945.7081011658553
F1,Times11,899.1687894587368
F1,Times12,871.6206284263075
F1,Times13,1497.9218105797256
F1,Times14,776.7163271120005
F1,Times15,771.7225305072258
F1,Times16,2632.9218593862674
F1,Times17,556.4167800917958
F1,Times18,948.3442835557829
F1,Times19,583.9236033098891
F1,Times20,1375.6242159478484
F2,Times1,6164.805986333098
F2,Times2,1406.4560661541698
F2,Times3,4588.903201408507
F2,Times4,921.4942949896804
F2,Times5,2158.5682774793336
F2,Times6,613.2364686470252
F2,Times7,830.2521502435332
F2,Times8,1122.3322357504833
F2,Times9,748.7277153692805
F2,Times10,1177.1129336244421
F2,Times11,873.0801307100734
F2,Times12,871.2481623676807
F2,Times13,406.3110979118187
F2,Times14,604.6310966271924
F2,Times15,1057.5855728161453
F2,Times16,4949.2260636920055
F2,Times17,870.8021575891042
F2,Times18,1601.6927788989958
F2,Times19,866.1623979498212
F2,Times20,694.9523496555533
F3,Times1,1063.8314745624011
F3,Times2,1078.631763107783
F3,Times3,858.7713471152675
F3,Times4,782.5392101164991
F3,Times5,1473.69078130027
F3,Times6,669.1254027518443
F3,Times7,970.2930362889552
F3,Times8,1565.5046073240364
F3,Times9,2505.0750965097436
F3,Times10,1133.1824549418466
F3,Times11,799.2810782582853
F3,Times12,595.9558027707018
F3,Times13,974.876145754586
F3,Times14,1042.2187888544527
F3,Times15,832.8325001927567
F3,Times16,13226.049763280465
F3,Times17,1010.4127351199629
F3,Times18,800.7044073084567
F3,Times19,1252.122562262151
F3,Times20,1084.5898163481027
F5,Times1,504.20130068252945
F5,Times2,366.8415184221151
F5,Times3,533.7328352295759
F5,Times4,546.3822927310961
F5,Times5,756.9330316253989
F5,Times6,606.3604001356
F5,Times7,391.41572217658705
F5,Times8,546.473338553514
F5,Times9,486.8574754244056
F5,Times10,501.2301671706001
F5,Times11,542.0445572063868
F5,Times12,1113.5117118655457
F5,Times13,271.8736835160887
F5,Times14,430.3055710775953
F5,Times15,392.1354161053481
F5,Times16,521.9631857224541
F5,Times17,327.3369153981413
F5,Times18,352.49512501059843
F5,Times19,322.6837835342698
F5,Times20,353.1251488203054
F6,Times1,1325.2672773297213
F6,Times2,1846.459209803183
F6,Times3,2757.327420690494
F6,Times4,1443.2126818986023
F6,Times5,1141.44330489828
F6,Times6,1062.5454492409274
F6,Times7,1728.583594356964
F6,Times8,803.896706875029
F6,Times9,800.4740659968384
F6,Times10,1373.2465300638855
F6,Times11,964.454946558077
F6,Times12,1260.2544281694368
F6,Times13,820.0095288749403
F6,Times14,929.989084875611
F6,Times15,3769.594516029025
F6,Times16,1205.2496957279625
F6,Times17,1800.5771095715138
F6,Times18,1493.1530399900587
F6,Times19,845.5840888221197
F6,Times20,2214.3335128773215
F7,Times1,24.598380636344135
F7,Times2,15.507100528923157
F7,Times3,37.81211884734379
F7,Times4,18.546843591550697
F7,Times5,13.080924955121263
F7,Times6,21.14364519532801
F7,Times7,26.16098635073018
F7,Times8,17.782544523561032
F7,Times9,20.89254261128864
F7,Times10,20.977038552616992
F7,Times11,33.19987515871943
F7,Times12,26.787074863637887
F7,Times13,21.66384530137082
F7,Times14,19.786649940829346
F7,Times15,14.800411277644436
F7,Times16,18.08600056569174
F7,Times17,21.80304199986525
F7,Times18,21.97712829197111
F7,Times19,28.747144612595786
F7,Times20,23.613026155340698
F11,Times1,6181.11451624261
F11,Times2,4425.699513456774
F11,Times3,7040.650644706833
F11,Times4,7004.045736346099
F11,Times5,7236.633420001838
F11,Times6,4467.351245408683
F11,Times7,5822.829010189147
F11,Times8,11968.63930441764
F11,Times9,3944.3392371484056
F11,Times10,5715.545222748222
F11,Times11,4002.450675108697
F11,Times12,5235.819429666166
F11,Times13,4436.987640432552
F11,Times14,8077.762077770335
F11,Times15,4350.581268621403
F11,Times16,4897.263432261372
F11,Times17,5711.951975993692
F11,Times18,4513.738755680774
F11,Times19,7329.239767792549
F11,Times20,12595.094763139807
F12,Times1,1201.0471719428397
F12,Times2,1219.3597997905904
F12,Times3,1157.6708157468825
F12,Times4,1091.3458264700857
F12,Times5,1628.8645152009587
F12,Times6,1020.8745317449257
F12,Times7,681.0867296147667
F12,Times8,1356.5064068411903
F12,Times9,947.7327113404482
F12,Times10,1109.9124315882632
F12,Times11,1290.709798042279
F12,Times12,893.233335893263
F12,Times13,551.8154232269457
F12,Times14,1114.8068908923708
F12,Times15,1005.4504009256906
F12,Times16,1023.3918981460458
F12,Times17,1206.0618616587237
F12,Times18,1044.0148450336299
F12,Times19,753.7086956095646
F12,Times20,1273.1196291786641
F13,Times1,1470.0226894712382
F13,Times2,757.7821982169395
F13,Times3,516.839034905861
F13,Times4,663.0020235866648
F13,Times5,1119.7315332515432
F13,Times6,972.7106769345379
F13,Times7,978.4484085386531
F13,Times8,968.8594538461348
F13,Times9,839.9797570702672
F13,Times10,928.7010916478716
F13,Times11,1118.8512180395496
F13,Times12,524.905434547933
F13,Times13,965.852894287128
F13,Times14,933.1689007329239
F13,Times15,1023.5870956804241
F13,Times16,997.7794091874468
F13,Times17,969.4514933706307
F13,Times18,901.5196144534495
F13,Times19,774.6767513667065
F13,Times20,1147.9813489677733
F14,Times1,2877.8555783363336
F14,Times2,2568.5107479822605
F14,Times3,2079.860976161584
F14,Times4,1584.7038869225712
F14,Times5,2408.7649462839963
F14,Times6,2826.320979440647
F14,Times7,1499.6676769361395
F14,Times8,2657.411175083244
F14,Times9,2216.67240960624
F14,Times10,1893.7965163492834
F14,Times11,1387.7566642947343
F14,Times12,1561.880887092962
F14,Times13,1403.947957454497
F14,Times14,2032.13263338697
F14,Times15,1836.9810194164093
F14,Times16,1745.2179243146534
F14,Times17,1584.4711598227464
F14,Times18,1668.7062773845453
F14,Times19,1978.4897115077233
F14,Times20,2121.0928261783615
F15,Times1,29.714790600153243
F15,Times2,2.6458935105352728
F15,Times3,3.7828932999894613
F15,Times4,131.7581948185922
F15,Times5,32.268759250764475
F15,Times6,95.72252802240013
F15,Times7,282.6280821901444
F15,Times8,9.772521649811846
F15,Times9,68.85714027128445
F15,Times10,73.39228987897279
F15,Times11,213.58613718681215
F15,Times12,79.94939051231384
F15,Times13,137.09099603087188
F15,Times14,2.6464590565140815
F15,Times15,69.4841581725038
F15,Times16,3.7666695934129337
F15,Times17,54.96103508075903
F15,Times18,233.5003036992753
F15,Times19,6.886207733444439
F15,Times20,7.442246026673148
F16,Times1,57.64700313231152
F16,Times2,76.91608903459546
F16,Times3,74.5945521928629
F16,Times4,62.186765908759504
F16,Times5,71.18150134982992
F16,Times6,55.72027592627906
F16,Times7,72.36185753912902
F16,Times8,62.94376461201756
F16,Times9,70.90297268833612
F16,Times10,79.88450110816831
F16,Times11,63.34702558513394
F16,Times12,54.80266223980039
F16,Times13,69.33211372056452
F16,Times14,54.514199183094306
F16,Times15,76.06432727692007
F16,Times16,74.73635234035577
F16,Times17,61.239638047369255
F16,Times18,78.81193575834251
F16,Times19,61.87038340368578
F16,Times20,82.48055523978253
F17,Times1,16.099436673200593
F17,Times2,14.719061298389358
F17,Times3,16.134745573478828
F17,Times4,15.762071190774154
F17,Times5,15.575638429245618
F17,Times6,15.17353669908294
F17,Times7,36.76434872186801
F17,Times8,16.303684443262206
F17,Times9,14.909349400437149
F17,Times10,14.680512909387867
F17,Times11,17.383035643724966
F17,Times12,14.458431969360259
F17,Times13,19.924272592121962
F17,Times14,16.191532397152976
F17,Times15,15.999522890617932
F17,Times16,16.926300906709535
F17,Times17,16.546221580654578
F17,Times18,17.075106757042114
F17,Times19,16.65943065114165
F17,Times20,17.153642182016245
F18,Times1,4.84471171498974
F18,Times2,5.377953008209038
F18,Times3,6.411721495958288
F18,Times4,5.866182281136347
F18,Times5,5.537229322014268
F18,Times6,6.017063740678386
F18,Times7,6.1302874636895455
F18,Times8,6.243807627337618
F18,Times9,5.370587358746019
F18,Times10,6.102198394158317
F18,Times11,5.900872319292981
F18,Times12,5.695475583806612
F18,Times13,6.003953495627109
F18,Times14,6.74539147840632
F18,Times15,5.941199247446133
F18,Times16,5.202614884138382
F18,Times17,6.149568497084147
F18,Times18,6.045221927085104
F18,Times19,5.332693114226933
F18,Times20,5.332524155420649
F19,Times1,7.913532332711008
F19,Times2,0.6301829763035164
F19,Times3,0.2886953105991564
F19,Times4,0.38723714914421714
F19,Times5,0.16320626761902385
F19,Times6,0.2962971680193493
F19,Times7,0.4871568575937357
F19,Times8,8.868248409712375
F19,Times9,0.7045783942634061
F19,Times10,0.4641994823005237
F19,Times11,53.859141923202095
F19,Times12,0.4023071659566438
F19,Times13,0.15823425952447936
F19,Times14,0.34286543691401
F19,Times15,0.6087420911720898
F19,Times16,0.09271131671365367
F19,Times17,0.5248395757182613
F19,Times18,0.37694899530390746
F19,Times19,0.35086436862408976
F19,Times20,1.343378232463515
F20,Times1,0.2915802101685546
F20,Times2,0.1802773752227712
F20,Times3,2.507998234142825
F20,Times4,0.4733774952180509
F20,Times5,0.24432418062098676
F20,Times6,0.29360817994721466
F20,Times7,0.6132839150166594
F20,Times8,0.4383278271657882
F20,Times9,0.13854256407908672
F20,Times10,0.27555187030560224
F20,Times11,0.6361315652504222
F20,Times12,0.180669158623008
F20,Times13,0.14835026946651214
F20,Times14,0.8061665535418296
F20,Times15,0.3051083069960513
F20,Times16,0.3445833697430909
F20,Times17,0.23543544068171246
F20,Times18,0.25783939914565857
F20,Times19,0.34448072385870093
F20,Times20,2.3933096486848138
F21,Times1,1.5113389932303871
F21,Times2,9.165746508187825
F21,Times3,7.534063632868904
F21,Times4,5.803376429575687
F21,Times5,7.313850095912287
F21,Times6,2.427736456166117
F21,Times7,6.141061934300386
F21,Times8,3.786191037235642
F21,Times9,2.0665157193261043
F21,Times10,2.5146834739161132
F21,Times11,1.9399112085224555
F21,Times12,2.715823623606421
F21,Times13,376.47883902353885
F21,Times14,4.485417707542207
F21,Times15,4.119871277110034
F21,Times16,3.6962359183424374
F21,Times17,3.3207117617016975
F21,Times18,2.094962880903025
F21,Times19,3.285951549693892
F21,Times20,1.7174277600602013
F22,Times1,4.710230622853072
F22,Times2,2.9032827138861084
F22,Times3,5.807805479179587
F22,Times4,4.699336825361205
F22,Times5,4.013631856434394
F22,Times6,138.92002359858748
F22,Times7,3.5311249012809443
F22,Times8,5.62622746927343
F22,Times9,3.601790967096979
F22,Times10,2.173011789923598
F22,Times11,1.4523848836130524
F22,Times12,2.4303994995980065
F22,Times13,5.5891449139750415
F22,Times14,2.6439654624606836
F22,Times15,1.645179494778833
F22,Times16,3.2244558484451873
F22,Times17,0.9779887198346041
F22,Times18,5.803178741512162
F22,Times19,76.24909746688078
F22,Times20,4.889273338585029
F23,Times1,3.667421461436911
F23,Times2,3.4234917905055453
F23,Times3,1.5713253199333879
F23,Times4,374.4301991198618
F23,Times5,363.0704258372795
F23,Times6,1.9394867412794528
F23,Times7,3.7679809083359084
F23,Times8,2.980442039740044
F23,Times9,2.4843404834539977
F23,Times10,370.4815802230088
F23,Times11,4.8888526544647455
F23,Times12,3.2646768283890255
F23,Times13,1.834776507480787
F23,Times14,3.349958242485694
F23,Times15,1.0683987995454527
F23,Times16,203.44291640789484
F23,Times17,2.42007350889486
F23,Times18,0.05185158637117077
F23,Times19,3.241936737882791
F23,Times20,404.75984914089497
