,,Combination1
F1,Times1,314.972789126545
F1,Times2,307.35738876525454
F1,Times3,329.3501908780252
F1,Times4,262.06803819553727
F1,Times5,241.01306115941958
F1,Times6,374.2450880958019
F1,Times7,286.48777628402934
F1,Times8,334.8376604181811
F1,Times9,327.47553046284827
F1,Times10,383.1776812787193
F1,Times11,314.502659799894
F1,Times12,292.4865053861154
F1,Times13,233.03788591370719
F1,Times14,447.9066564922673
F1,Times15,304.8195738103906
F1,Times16,277.6680258972055
F1,Times17,280.9832930482252
F1,Times18,306.62767711787603
F1,Times19,249.61437597524343
F1,Times20,313.0243300290585
F2,Times1,62.316309060153685
F2,Times2,54.95203243338849
F2,Times3,57.668654414756666
F2,Times4,62.409891489537685
F2,Times5,67.04751308399433
F2,Times6,48.35858105263955
F2,Times7,68.24610499938052
F2,Times8,73.27319367222388
F2,Times9,49.03094050984724
F2,Times10,72.62706231756735
F2,Times11,46.59669083962687
F2,Times12,63.422875980544816
F2,Times13,56.01717934125382
F2,Times14,97.75019360688931
F2,Times15,51.38757183880832
F2,Times16,57.303458896285186
F2,Times17,67.00700738419408
F2,Times18,50.38352684474326
F2,Times19,54.43455045766238
F2,Times20,56.37782955687738
F3,Times1,18417.034451428146
F3,Times2,14080.4930128207
F3,Times3,15090.881101218372
F3,Times4,17705.172433059888
F3,Times5,13165.542582883483
F3,Times6,19338.276622019013
F3,Times7,12918.863883369415
F3,Times8,10408.019752684826
F3,Times9,13730.183804246173
F3,Times10,11281.552831999083
F3,Times11,17319.317115498277
F3,Times12,13383.124176214784
F3,Times13,15445.835586677034
F3,Times14,16389.0785522167
F3,Times15,19713.52193665526
F3,Times16,9256.348166636762
F3,Times17,15176.131206909153
F3,Times18,12403.226655304437
F3,Times19,18183.423318254594
F3,Times20,11092.240755720832
F5,Times1,12208.51413385556
F5,Times2,21815.835717677877
F5,Times3,17776.872332786577
F5,Times4,16993.808930716652
F5,Times5,10007.484947240067
F5,Times6,13586.764348087016
F5,Times7,10910.770947441079
F5,Times8,13055.762788714603
F5,Times9,28754.306750759773
F5,Times10,16766.30226026029
F5,Times11,12953.835616597873
F5,Times12,22487.774209977575
F5,Times13,19058.04611199225
F5,Times14,10722.935521462732
F5,Times15,17058.76935965111
F5,Times16,10856.702729091889
F5,Times17,17729.799557234463
F5,Times18,16030.138653574924
F5,Times19,9220.939736669783
F5,Times20,9180.408480068832
F6,Times1,314.58293067291925
F6,Times2,220.07566757575015
F6,Times3,241.43212791216052
F6,Times4,195.44995784596406
F6,Times5,304.26907723948887
F6,Times6,257.4284433654555
F6,Times7,290.19902056242165
F6,Times8,193.93294217049387
F6,Times9,329.4396309904163
F6,Times10,212.6333185697396
F6,Times11,271.5652619832292
F6,Times12,399.3068912812632
F6,Times13,255.71130334459662
F6,Times14,275.86848223584377
F6,Times15,220.80867573586676
F6,Times16,317.3739600807805
F6,Times17,305.28242652042076
F6,Times18,368.7404790423613
F6,Times19,250.4902618040151
F6,Times20,313.4036463219495
F7,Times1,0.01078031070645008
F7,Times2,0.007913666468522996
F7,Times3,0.011700194301583925
F7,Times4,0.010392166562617662
F7,Times5,0.003381756635462769
F7,Times6,0.006688851498700273
F7,Times7,0.0063784405771759095
F7,Times8,0.010494345761124891
F7,Times9,0.009044074844146157
F7,Times10,0.01282618857848312
F7,Times11,0.012573404520980418
F7,Times12,0.004464024052540271
F7,Times13,0.011149287383223511
F7,Times14,0.007624596965696924
F7,Times15,0.009949864380731461
F7,Times16,0.01060031339296882
F7,Times17,0.005740793416933218
F7,Times18,0.006870792657050756
F7,Times19,0.007636564445894568
F7,Times20,0.005150724528401684
F11,Times1,2.6797078752949632
F11,Times2,4.2248436126363185
F11,Times3,3.1707427806377613
F11,Times4,3.64708829397611
F11,Times5,4.029408535094868
F11,Times6,4.306157579567268
F11,Times7,3.5383146626417212
F11,Times8,3.9401180006966867
F11,Times9,4.3945358405019945
F11,Times10,2.8770726079849673
F11,Times11,3.7224013981582984
F11,Times12,3.2758286346136156
F11,Times13,3.972403100655039
F11,Times14,3.8852569417987453
F11,Times15,3.5480514398472183
F11,Times16,4.3148422434058125
F11,Times17,3.7440868992287486
F11,Times18,3.8877516168597253
F11,Times19,5.042821893281713
F11,Times20,5.829070047255354
F12,Times1,3.317706996443938
F12,Times2,2.135319025408377
F12,Times3,3.539150656108101
F12,Times4,2.222080277649363
F12,Times5,1.8523038797587286
F12,Times6,3.332145527026694
F12,Times7,2.2808258674997175
F12,Times8,2.6897166046500205
F12,Times9,2.5924407640920886
F12,Times10,2.7774197366969817
F12,Times11,2.669098402168258
F12,Times12,2.661329159175687
F12,Times13,3.5377416798632644
F12,Times14,4.296545435185726
F12,Times15,2.648529978017554
