,,Combination1
F1,Times1,1819.4626305666402
F1,Times2,2138.3937400208197
F1,Times3,2036.6854162056134
F1,Times4,2058.644115353455
F1,Times5,1963.2010915805956
F1,Times6,1914.7546581394408
F1,Times7,1970.438122206292
F1,Times8,1306.7033490692106
F1,Times9,1168.8905903620544
F1,Times10,2960.9554959547145
F1,Times11,1270.8512574750553
F1,Times12,1861.787747165612
F1,Times13,1692.2577560772968
F1,Times14,986.853533018927
F1,Times15,1137.6079924659034
F1,Times16,1149.1016966842496
F1,Times17,2747.6103294266163
F1,Times18,2821.7944574997446
F1,Times19,1525.4670483463367
F1,Times20,1658.3965217228379
F2,Times1,2822.551138666664
F2,Times2,1619.695873195427
F2,Times3,520.3918867032651
F2,Times4,3334.602737585597
F2,Times5,927.4440884849761
F2,Times6,827.933514730226
F2,Times7,1868.4988191964514
F2,Times8,2769.3241670108623
F2,Times9,948.5682678747804
F2,Times10,3026.765002069029
F2,Times11,999.743411055791
F2,Times12,830.3332614139073
F2,Times13,2407.9234451770503
F2,Times14,5582.638850770291
F2,Times15,2831.3746640629706
F2,Times16,1092.8424278764433
F2,Times17,4941.541474196804
F2,Times18,3037.6227354167013
F2,Times19,1870.2031443821165
F2,Times20,1220.7292658797912
F3,Times1,1683.7252064648064
F3,Times2,1676.3961418252554
F3,Times3,1556.2347625456005
F3,Times4,1091.0935566770627
F3,Times5,1130.7517785880254
F3,Times6,1968.2357446786739
F3,Times7,1272.6096510527148
F3,Times8,1559.0892656893293
F3,Times9,1299.1620835930744
F3,Times10,2304.210864756729
F3,Times11,2020.6240177960465
F3,Times12,2245.955715482012
F3,Times13,1029.2273826772887
F3,Times14,1513.2211796407432
F3,Times15,2034.3155272226013
F3,Times16,3540.4723888940634
F3,Times17,1449.9732121179134
F3,Times18,1475.7289564575851
F3,Times19,1876.3679135379932
F3,Times20,2178.1641248025644
F5,Times1,663.7982158463859
F5,Times2,970.0417906804885
F5,Times3,808.1489461530376
F5,Times4,472.7368189576003
F5,Times5,464.7332728905062
F5,Times6,888.1098485295486
F5,Times7,446.5938689461301
F5,Times8,609.9010825147443
F5,Times9,796.4123871060402
F5,Times10,619.0962928290154
F5,Times11,1083.0394046859835
F5,Times12,1111.7644513392115
F5,Times13,1050.2043052629751
F5,Times14,988.0549853735939
F5,Times15,771.1315710468594
F5,Times16,902.1112931801752
F5,Times17,535.5021707773233
F5,Times18,542.898238800218
F5,Times19,613.3043655832827
F5,Times20,523.1027911319288
F6,Times1,1918.0998024361097
F6,Times2,2205.264992876997
F6,Times3,1801.2441815342563
F6,Times4,1471.4367855362743
F6,Times5,1885.6100424235071
F6,Times6,1881.0018831785308
F6,Times7,1444.850858726906
F6,Times8,2459.707536719609
F6,Times9,1430.2117008022028
F6,Times10,2433.3187558180703
F6,Times11,1645.7157695088545
F6,Times12,6707.424545488709
F6,Times13,1976.1042957734342
F6,Times14,3576.370943104201
F6,Times15,1691.6826159588472
F6,Times16,1898.9018561877695
F6,Times17,1660.6825458445403
F6,Times18,2202.5991473340646
F6,Times19,4521.7757374686125
F6,Times20,1536.5213020890717
F7,Times1,31.924349630419865
F7,Times2,32.97347933385059
F7,Times3,24.242507049728868
F7,Times4,32.12586778867822
F7,Times5,43.40165797743669
F7,Times6,33.7351214071053
F7,Times7,45.20001367515042
F7,Times8,25.957131441913315
F7,Times9,43.71814165567882
F7,Times10,31.55408160595984
F7,Times11,18.169393943925797
F7,Times12,45.96286954697609
F7,Times13,40.308628649201
F7,Times14,32.799922229978826
F7,Times15,21.89047284813351
F7,Times16,31.993629320626713
F7,Times17,48.19333831167338
F7,Times18,26.176310202210868
F7,Times19,28.945476346120575
F7,Times20,51.288521915163614
F11,Times1,7670.328245837582
F11,Times2,5976.978124024127
F11,Times3,10611.695097458012
F11,Times4,6742.293131795299
F11,Times5,6826.529173263799
F11,Times6,9872.461950913288
F11,Times7,7114.028081271143
F11,Times8,9051.55719993576
F11,Times9,7570.432947775735
F11,Times10,13209.255897668088
F11,Times11,18001.446847368294
F11,Times12,14512.143796652828
F11,Times13,14076.561392584483
F11,Times14,11429.711988443862
F11,Times15,7346.865916431389
F11,Times16,10103.731967789794
F11,Times17,13250.592142683896
F11,Times18,8597.30369182423
F11,Times19,9909.606275943255
F11,Times20,10164.917070946141
F12,Times1,2139.624758423027
F12,Times2,1543.6808727137216
F12,Times3,1137.5871261769723
F12,Times4,1844.0630796553546
F12,Times5,2044.6821401739187
F12,Times6,2913.838442120249
F12,Times7,2773.926382211247
F12,Times8,902.240876808277
F12,Times9,2092.7557717367317
F12,Times10,2169.839563884462
F12,Times11,1515.3231322962793
F12,Times12,1896.9959487001347
F12,Times13,1635.6869378719364
F12,Times14,2284.1221732238673
F12,Times15,2254.5583558346125
F12,Times16,1136.5356539179365
F12,Times17,1568.3536364024108
F12,Times18,1662.7478500504435
F12,Times19,1998.9836807241977
F12,Times20,2015.6676480312594
F13,Times1,1323.702337343592
F13,Times2,1314.2268187587074
F13,Times3,1718.4357463122615
F13,Times4,2032.8272602451107
F13,Times5,1668.0427184399705
F13,Times6,974.7000601441277
F13,Times7,1748.4197348563614
F13,Times8,1489.6394246690593
F13,Times9,1854.2955420559858
F13,Times10,1573.5853586252035
F13,Times11,2070.2454039680056
F13,Times12,1297.8143271351835
F13,Times13,1312.9227812485246
F13,Times14,1766.5817708835266
F13,Times15,1054.358925175008
F13,Times16,1738.0314402720614
F13,Times17,931.3746284951013
F13,Times18,1209.2316485158499
F13,Times19,1626.245118011773
F13,Times20,2314.648727536373
F14,Times1,14.06315042923665
F14,Times2,0.0
F14,Times3,22.611439760098936
F14,Times4,0.0
F14,Times5,4.006449669824661
F14,Times6,28.523756506500938
F14,Times7,2.430994456388902
F14,Times8,37.9359946571367
F14,Times9,4.476636926796335
F14,Times10,0.8214664408238406
F14,Times11,6.271349932151036
F14,Times12,29.739295634636452
F14,Times13,31.383664321900646
F14,Times14,4.622576496293405
F14,Times15,43.71826919995284
F14,Times16,0.0
F14,Times17,6.941509110662281
F14,Times18,0.0
F14,Times19,13.570550218429482
F14,Times20,9.32761167504805
F15,Times1,1.3866478701246305
F15,Times2,3.1461504314361557
F15,Times3,0.0
F15,Times4,31.998332297963877
F15,Times5,12.695308283991372
F15,Times6,0.4477105426675183
F15,Times7,0.36337145362955914
F15,Times8,27.00841856469565
F15,Times9,0.9176942209650123
F15,Times10,1.882663503757613
F15,Times11,0.048984719888515105
F15,Times12,0.7699998950846708
F15,Times13,3.5727896319533676
F15,Times14,0.637814018024276
F15,Times15,0.8380693656926466
F15,Times16,0.35538872971843194
F15,Times17,1.337313073424596
F15,Times18,0.30444144018947994
F15,Times19,93.62224444794003
F15,Times20,0.46236522207647435
F16,Times1,62.41236142354558
F16,Times2,3.627872062000386
F16,Times3,1.9923594078303808
F16,Times4,14.250384301465507
F16,Times5,42.15877130937888
F16,Times6,220.9568555381074
F16,Times7,0.6346292724135535
F16,Times8,2.4125631358934143
F16,Times9,2.036023657038725
F16,Times10,9.179121587454441
F16,Times11,3.3516960675980196
F16,Times12,1.6831052890863987
F16,Times13,459.7572325314197
F16,Times14,2.237591248111022
F16,Times15,1.2586956646001872
F16,Times16,11.796840445093972
F16,Times17,75.0152170070498
F16,Times18,0.7703248277621754
F16,Times19,1.457097736173421
F16,Times20,0.0
F17,Times1,7.248156161381247
F17,Times2,2.3372514854869575
F17,Times3,3.505395399955712
F17,Times4,38.528021234649096
F17,Times5,22.902671586696535
F17,Times6,249.43548384031342
F17,Times7,89.16905944444022
F17,Times8,0.8535059797236797
F17,Times9,101.63701162335246
F17,Times10,57.62339165170714
F17,Times11,11.481474500706097
F17,Times12,0.998195839372416
F17,Times13,4.220775866505758
F17,Times14,62.850943386998495
F17,Times15,89.97771645757328
F17,Times16,139.53129064594577
F17,Times17,1.8961340392030004
F17,Times18,3.7484031340256574
F17,Times19,192.75370436151644
F17,Times20,2.0300743552940457
F18,Times1,0.1720515348095386
F18,Times2,0.2501405426814497
F18,Times3,0.31775317337986464
F18,Times4,0.133187677083913
F18,Times5,0.650131251246007
F18,Times6,0.0
F18,Times7,0.2985907205231598
F18,Times8,0.8513416209125413
F18,Times9,0.8769947983119073
F18,Times10,0.0477524560507111
F18,Times11,0.0
F18,Times12,0.27135192203506664
F18,Times13,0.11061844096392093
F18,Times14,0.22633292382127493
F18,Times15,0.0
F18,Times16,0.7305425236632387
F18,Times17,7.319671000574253
F18,Times18,1.363701481082237
F18,Times19,0.976602500593545
F18,Times20,0.19064970631992265
F19,Times1,0.062198079125191416
F19,Times2,0.09075869318530615
F19,Times3,0.012453092285102607
F19,Times4,124.57441318067056
F19,Times5,0.28686956112364775
F19,Times6,0.18084735291579848
F19,Times7,0.0018304092696392188
F19,Times8,54.91241320099096
