Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555
F1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F3,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F7,0%,10%,60%,60%,140%,50%,70%,0%,0%,170%,120%,0%,40%,0%,100%,200%,10%,50%,190%,190%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F14,200%,160%,200%,200%,200%,200%,200%,190%,200%,200%,170%,200%,200%,200%,200%,200%,200%,200%,200%,200%
F15,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F16,0%,30%,200%,20%,40%,10%,200%,30%,200%,200%,50%,200%,20%,200%,200%,200%,200%,200%,200%,200%
F17,70%,110%,200%,100%,60%,110%,200%,40%,200%,200%,70%,200%,90%,200%,200%,200%,200%,200%,200%,200%
F18,0%,0%,170%,0%,0%,0%,160%,0%,150%,150%,0%,140%,0%,130%,170%,120%,180%,180%,180%,180%
F19,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%,200%
F20,110%,70%,120%,80%,110%,110%,100%,80%,90%,80%,110%,100%,120%,100%,80%,80%,100%,110%,110%,80%
F21,0%,0%,0%,10%,0%,0%,0%,0%,0%,10%,0%,0%,0%,10%,20%,0%,0%,10%,0%,0%
F22,0%,0%,10%,0%,0%,0%,0%,0%,0%,10%,0%,10%,0%,10%,30%,0%,10%,0%,10%,20%
F23,0%,0%,0%,0%,0%,0%,10%,0%,10%,0%,0%,10%,0%,10%,0%,10%,0%,10%,0%,0%
