,,Combination1
F1,Times1,10099.0
F1,Times2,10099.0
F1,Times3,10099.0
F1,Times4,10099.0
F1,Times5,10099.0
F1,Times6,10099.0
F1,Times7,10099.0
F1,Times8,10099.0
F1,Times9,10099.0
F1,Times10,10099.0
F1,Times11,10099.0
F1,Times12,10099.0
F1,Times13,10099.0
F1,Times14,10099.0
F1,Times15,10099.0
F1,Times16,10099.0
F1,Times17,10099.0
F1,Times18,10099.0
F1,Times19,10099.0
F1,Times20,10099.0
F2,Times1,10099.0
F2,Times2,10099.0
F2,Times3,10099.0
F2,Times4,10099.0
F2,Times5,10099.0
F2,Times6,10099.0
F2,Times7,10099.0
F2,Times8,10099.0
F2,Times9,10099.0
F2,Times10,10099.0
F2,Times11,10099.0
F2,Times12,10099.0
F2,Times13,10099.0
F2,Times14,10099.0
F2,Times15,10099.0
F2,Times16,10099.0
F2,Times17,10099.0
F2,Times18,10099.0
F2,Times19,10099.0
F2,Times20,10099.0
F3,Times1,10099.0
F3,Times2,10099.0
F3,Times3,10099.0
F3,Times4,10099.0
F3,Times5,10099.0
F3,Times6,10099.0
F3,Times7,10099.0
F3,Times8,10099.0
F3,Times9,10099.0
F3,Times10,10099.0
F3,Times11,10099.0
F3,Times12,10099.0
F3,Times13,10099.0
F3,Times14,10099.0
F3,Times15,10099.0
F3,Times16,10099.0
F3,Times17,10099.0
F3,Times18,10099.0
F3,Times19,10099.0
F3,Times20,10099.0
F5,Times1,10099.0
F5,Times2,10099.0
F5,Times3,10099.0
F5,Times4,10099.0
F5,Times5,10099.0
F5,Times6,10099.0
F5,Times7,10099.0
F5,Times8,10099.0
F5,Times9,10099.0
F5,Times10,10099.0
F5,Times11,10099.0
F5,Times12,10099.0
F5,Times13,10099.0
F5,Times14,10099.0
F5,Times15,10099.0
F5,Times16,10099.0
F5,Times17,10099.0
F5,Times18,10099.0
F5,Times19,10099.0
F5,Times20,10099.0
F6,Times1,10099.0
F6,Times2,10099.0
F6,Times3,10099.0
F6,Times4,10099.0
F6,Times5,10099.0
F6,Times6,10099.0
F6,Times7,10099.0
F6,Times8,10099.0
F6,Times9,10099.0
F6,Times10,10099.0
F6,Times11,10099.0
F6,Times12,10099.0
F6,Times13,10099.0
F6,Times14,10099.0
F6,Times15,10099.0
F6,Times16,10099.0
F6,Times17,10099.0
F6,Times18,10099.0
F6,Times19,10099.0
F6,Times20,10099.0
F7,Times1,7887.0
F7,Times2,9130.0
F7,Times3,8240.0
F7,Times4,6819.0
F7,Times5,8297.0
F7,Times6,8316.0
F7,Times7,8107.0
F7,Times8,7592.0
F7,Times9,9421.0
F7,Times10,8484.0
F7,Times11,8180.0
F7,Times12,7170.0
F7,Times13,8728.0
F7,Times14,9509.0
F7,Times15,7525.0
F7,Times16,8132.0
F7,Times17,10099.0
F7,Times18,9715.0
F7,Times19,8648.0
F7,Times20,7576.0
F11,Times1,10099.0
F11,Times2,10099.0
F11,Times3,10099.0
F11,Times4,10099.0
F11,Times5,10099.0
F11,Times6,10099.0
F11,Times7,10099.0
F11,Times8,10099.0
F11,Times9,10099.0
F11,Times10,10099.0
F11,Times11,10099.0
F11,Times12,10099.0
F11,Times13,10099.0
F11,Times14,10099.0
F11,Times15,10099.0
F11,Times16,10099.0
F11,Times17,10099.0
F11,Times18,10099.0
F11,Times19,10099.0
F11,Times20,10099.0
F12,Times1,10099.0
F12,Times2,10099.0
F12,Times3,10099.0
F12,Times4,10099.0
F12,Times5,10099.0
F12,Times6,10099.0
F12,Times7,10099.0
F12,Times8,10099.0
F12,Times9,10099.0
F12,Times10,10099.0
F12,Times11,10099.0
F12,Times12,10099.0
F12,Times13,10099.0
F12,Times14,10099.0
F12,Times15,10099.0
F12,Times16,10099.0
F12,Times17,10099.0
F12,Times18,10099.0
F12,Times19,10099.0
F12,Times20,10099.0
F13,Times1,10099.0
F13,Times2,10099.0
F13,Times3,10099.0
F13,Times4,10099.0
F13,Times5,10099.0
F13,Times6,10099.0
F13,Times7,10099.0
F13,Times8,10099.0
F13,Times9,10099.0
F13,Times10,10099.0
F13,Times11,10099.0
F13,Times12,10099.0
F13,Times13,10099.0
F13,Times14,10099.0
F13,Times15,10099.0
F13,Times16,10099.0
F13,Times17,10099.0
F13,Times18,10099.0
F13,Times19,10099.0
F13,Times20,10099.0
F14,Times1,10099.0
F14,Times2,10099.0
F14,Times3,10099.0
F14,Times4,431.0
F14,Times5,10099.0
F14,Times6,10099.0
F14,Times7,10099.0
F14,Times8,10099.0
F14,Times9,10099.0
F14,Times10,10099.0
F14,Times11,10099.0
F14,Times12,10099.0
F14,Times13,10099.0
F14,Times14,10099.0
F14,Times15,10099.0
F14,Times16,10099.0
F14,Times17,10099.0
F14,Times18,10099.0
F14,Times19,10099.0
F14,Times20,10099.0
F15,Times1,10099.0
F15,Times2,10099.0
F15,Times3,10099.0
F15,Times4,10099.0
F15,Times5,10099.0
F15,Times6,10099.0
F15,Times7,10099.0
F15,Times8,10099.0
F15,Times9,10099.0
F15,Times10,10099.0
F15,Times11,10099.0
F15,Times12,10099.0
F15,Times13,10099.0
F15,Times14,10099.0
F15,Times15,10099.0
F15,Times16,10099.0
F15,Times17,10099.0
F15,Times18,10099.0
F15,Times19,10099.0
F15,Times20,10099.0
F16,Times1,2161.0
F16,Times2,1837.0
F16,Times3,575.0
F16,Times4,575.0
F16,Times5,8378.0
F16,Times6,1861.0
F16,Times7,1993.0
F16,Times8,1284.0
F16,Times9,1874.0
F16,Times10,1540.0
F16,Times11,889.0
F16,Times12,435.0
F16,Times13,3646.0
F16,Times14,879.0
F16,Times15,3759.0
F16,Times16,654.0
F16,Times17,2323.0
F16,Times18,407.0
F16,Times19,1884.0
F16,Times20,3432.0
F17,Times1,1705.0
F17,Times2,792.0
F17,Times3,1498.0
F17,Times4,571.0
F17,Times5,1882.0
F17,Times6,1060.0
F17,Times7,645.0
F17,Times8,1508.0
F17,Times9,662.0
F17,Times10,1177.0
F17,Times11,748.0
F17,Times12,1494.0
F17,Times13,981.0
F17,Times14,2018.0
F17,Times15,1170.0
F17,Times16,709.0
F17,Times17,332.0
F17,Times18,1564.0
F17,Times19,4564.0
F17,Times20,1973.0
F18,Times1,8772.0
F18,Times2,10099.0
F18,Times3,9467.0
F18,Times4,5045.0
F18,Times5,9794.0
F18,Times6,4964.0
F18,Times7,6214.0
F18,Times8,4300.0
F18,Times9,8894.0
F18,Times10,3658.0
F18,Times11,3255.0
F18,Times12,10099.0
F18,Times13,2481.0
F18,Times14,7526.0
F18,Times15,6383.0
F18,Times16,7171.0
F18,Times17,2431.0
F18,Times18,7937.0
F18,Times19,808.0
F18,Times20,6294.0
F19,Times1,10099.0
F19,Times2,414.0
F19,Times3,10099.0
F19,Times4,10099.0
F19,Times5,10099.0
F19,Times6,10099.0
F19,Times7,10099.0
F19,Times8,10099.0
F19,Times9,10099.0
F19,Times10,10099.0
F19,Times11,258.0
F19,Times12,10099.0
F19,Times13,10099.0
F19,Times14,10099.0
F19,Times15,10099.0
F19,Times16,10099.0
F19,Times17,10099.0
F19,Times18,10099.0
F19,Times19,10099.0
F19,Times20,10099.0
F20,Times1,10099.0
F20,Times2,908.0
F20,Times3,10099.0
F20,Times4,10099.0
F20,Times5,10099.0
F20,Times6,10099.0
F20,Times7,10099.0
F20,Times8,10099.0
F20,Times9,10099.0
F20,Times10,10099.0
F20,Times11,10099.0
F20,Times12,10099.0
F20,Times13,1455.0
F20,Times14,10099.0
F20,Times15,10099.0
F20,Times16,1325.0
F20,Times17,10099.0
F20,Times18,10099.0
F20,Times19,10099.0
F20,Times20,10099.0
F21,Times1,10099.0
F21,Times2,10099.0
F21,Times3,10099.0
F21,Times4,10099.0
F21,Times5,10099.0
F21,Times6,10099.0
F21,Times7,10099.0
F21,Times8,10099.0
F21,Times9,10099.0
F21,Times10,10099.0
F21,Times11,10099.0
F21,Times12,10099.0
F21,Times13,10099.0
F21,Times14,10099.0
F21,Times15,10099.0
F21,Times16,10099.0
F21,Times17,10099.0
F21,Times18,10099.0
F21,Times19,10099.0
F21,Times20,10099.0
F22,Times1,10099.0
F22,Times2,10099.0
F22,Times3,10099.0
F22,Times4,10099.0
F22,Times5,10099.0
F22,Times6,7759.0
F22,Times7,10099.0
F22,Times8,10099.0
F22,Times9,10099.0
F22,Times10,10099.0
F22,Times11,10099.0
F22,Times12,10099.0
F22,Times13,10099.0
F22,Times14,10099.0
F22,Times15,10099.0
F22,Times16,10099.0
F22,Times17,10099.0
F22,Times18,10099.0
F22,Times19,10099.0
F22,Times20,10099.0
F23,Times1,10099.0
F23,Times2,10099.0
F23,Times3,10099.0
F23,Times4,10099.0
F23,Times5,10099.0
F23,Times6,10099.0
F23,Times7,10099.0
F23,Times8,10099.0
F23,Times9,10099.0
F23,Times10,10099.0
F23,Times11,10099.0
F23,Times12,10099.0
F23,Times13,10099.0
F23,Times14,10099.0
F23,Times15,10099.0
F23,Times16,10099.0
F23,Times17,10099.0
F23,Times18,10099.0
