,,Combination1
F1,Times1,35.716795233168234
F1,Times2,24.409809650156504
F1,Times3,25.007808676542293
F1,Times4,18.392784874249354
F1,Times5,20.892495534237653
F1,Times6,31.89975624372579
F1,Times7,18.15221825373852
F1,Times8,21.48843507286933
F1,Times9,22.135297698256366
F1,Times10,17.08545446975173
F1,Times11,30.006406296294877
F1,Times12,20.388129528237187
F1,Times13,17.08490106149835
F1,Times14,14.68511590372185
F1,Times15,25.050705821294578
F1,Times16,34.34961626061188
F1,Times17,17.797285360335653
F1,Times18,22.198633737521472
F1,Times19,18.836479870709887
F1,Times20,18.824598257734795
F2,Times1,18.287923430949316
F2,Times2,21.138054272659502
F2,Times3,19.370490631678045
F2,Times4,17.920778551017932
F2,Times5,25.30085315658527
F2,Times6,18.676244085075826
F2,Times7,20.10080683873791
F2,Times8,20.124180330696444
F2,Times9,21.27452013395495
F2,Times10,22.039465338350997
F2,Times11,17.957969724325338
F2,Times12,20.112209605482146
F2,Times13,18.599754285843527
F2,Times14,18.546115102976295
F2,Times15,18.67653879527691
F2,Times16,21.963901407151347
F2,Times17,15.710937678079405
F2,Times18,17.501892978898656
F2,Times19,21.020530855016034
F2,Times20,17.696136237897797
F3,Times1,1246.0030489885862
F3,Times2,1378.852451726628
F3,Times3,1206.5875264817648
F3,Times4,924.2445160371641
F3,Times5,790.1572107908517
F3,Times6,1013.3117028235654
F3,Times7,1313.5142982833895
F3,Times8,836.3438501302495
F3,Times9,1208.7280269708276
F3,Times10,1329.941487113506
F3,Times11,811.6780747123341
F3,Times12,818.9424620421275
F3,Times13,1237.4320096075746
F3,Times14,677.9768736063833
F3,Times15,1147.8358906690396
F3,Times16,597.0061666955966
F3,Times17,937.0281144391122
F3,Times18,1832.3715575552292
F3,Times19,812.7765608313881
F3,Times20,1184.9537309224156
F5,Times1,543.3697715376569
F5,Times2,701.8315138728984
F5,Times3,716.7836585690507
F5,Times4,592.4557075310927
F5,Times5,1637.6195886342584
F5,Times6,755.2995644966616
F5,Times7,1532.563081334838
F5,Times8,804.3105783443438
F5,Times9,922.1984249674326
F5,Times10,638.203941697381
F5,Times11,783.6799295770645
F5,Times12,635.7886520761516
F5,Times13,2640.0061957394373
F5,Times14,912.2881311777188
F5,Times15,730.765399438516
F5,Times16,1021.7273672940182
F5,Times17,935.9492827297379
F5,Times18,1161.7569911443204
F5,Times19,1136.4871784244222
F5,Times20,923.6345177182542
F6,Times1,16.895956005964276
F6,Times2,24.888509853798006
F6,Times3,17.92728485332771
F6,Times4,30.838919026271785
F6,Times5,29.33527660606915
F6,Times6,28.415154710821017
F6,Times7,22.804687757240426
F6,Times8,29.051158385811593
F6,Times9,20.25649213026178
F6,Times10,23.472956360623524
F6,Times11,24.381025340465396
F6,Times12,14.415197729868707
F6,Times13,29.169850988426457
F6,Times14,32.15353390918524
F6,Times15,24.88355169925857
F6,Times16,41.29002146590828
F6,Times17,21.745071738445372
F6,Times18,15.60557388218327
F6,Times19,30.651843908561624
F6,Times20,23.45230759363954
F7,Times1,7.659885067370743e-05
F7,Times2,0.0001422015015311713
F7,Times3,0.00010390358500157696
F7,Times4,6.321944774237149e-05
F7,Times5,9.394448030594055e-05
F7,Times6,9.506672754786588e-05
F7,Times7,5.790837247085895e-05
F7,Times8,9.116444984582782e-05
F7,Times9,9.899373483405681e-05
F7,Times10,9.93874773380817e-05
F7,Times11,7.503784813767612e-05
F7,Times12,9.83779760157559e-05
F7,Times13,9.865488618341125e-05
F7,Times14,7.903578255637826e-05
F7,Times15,9.267679498658194e-05
F7,Times16,9.713661268217692e-05
F7,Times17,0.00010771201607983999
F7,Times18,6.465758762456819e-05
F7,Times19,6.358754596397862e-05
F7,Times20,9.829377402093635e-05
F11,Times1,1.2023152752377724
F11,Times2,1.1906449357764455
F11,Times3,1.1428389592173565
F11,Times4,1.2577106784872316
F11,Times5,1.2258885615644493
F11,Times6,1.2067538531104092
F11,Times7,1.3255729760323556
F11,Times8,1.2062029208413407
F11,Times9,1.1874545102961203
F11,Times10,1.2137012036380894
F11,Times11,1.2291005990359283
F11,Times12,1.313212717608757
F11,Times13,1.2131373810406372
F11,Times14,1.1537601642041517
F11,Times15,1.1407976598767375
F11,Times16,1.179932834717954
F11,Times17,1.144397580008001
F11,Times18,1.1615983954224403
F11,Times19,1.14916152147018
F11,Times20,1.1342065062192406
F12,Times1,0.03462873873347987
F12,Times2,0.03204931951930885
F12,Times3,0.05767345990949324
F12,Times4,0.08165898256808964
F12,Times5,0.07911257103770578
F12,Times6,0.025312127538651488
F12,Times7,0.0226661965195484
F12,Times8,0.11611719290568434
F12,Times9,0.06709709014118224
F12,Times10,0.039156562894756906
F12,Times11,0.04840300289898085
F12,Times12,0.061932185499911745
F12,Times13,0.07990833866206935
F12,Times14,0.15242782329980264
F12,Times15,0.1009865807372346
F12,Times16,0.09384596730738114
F12,Times17,0.09130489277588029
F12,Times18,0.05090736870618289
F12,Times19,0.04302555578059411
F12,Times20,0.024364378664908766
F13,Times1,1.6104829506871636
F13,Times2,1.535687083546401
F13,Times3,2.5701647274268042
F13,Times4,1.7757554558175312
F13,Times5,1.5801504551432846
F13,Times6,2.3289524590932715
F13,Times7,1.229684065661301
F13,Times8,1.8016649325082608
F13,Times9,1.2931348075291196
F13,Times10,1.7186619276834272
F13,Times11,1.0376221726845214
F13,Times12,1.1983953733628814
F13,Times13,1.7008536159689946
F13,Times14,1.1207321161675488
F13,Times15,2.4222711689819283
F13,Times16,1.004132572203855
F13,Times17,1.3238914509982656
F13,Times18,1.5820010906570487
F13,Times19,1.063281231171643
F13,Times20,1.6371589931012758
F14,Times1,0.9980038382233299
F14,Times2,0.9980038380926699
F14,Times3,0.9980038385117397
F14,Times4,0.9980038381463886
F14,Times5,0.9980038378255647
F14,Times6,0.9980038383365811
F14,Times7,0.9980038389493944
F14,Times8,0.9980038391787581
F14,Times9,0.9980038380252113
F14,Times10,0.9980038379561341
F14,Times11,0.9980038380258534
F14,Times12,0.9980038386114002
F14,Times13,0.9980038378284899
F14,Times14,0.9980038378948627
F14,Times15,0.9980038380578659
F14,Times16,0.9980038381696419
F14,Times17,0.99800383789443
F14,Times18,0.9980038378374219
F14,Times19,0.9980038384006631
F14,Times20,0.998003837815676
F15,Times1,0.020424628899013905
F15,Times2,0.0014894385748340255
F15,Times3,0.020376443845451234
F15,Times4,0.0012327072506605045
F15,Times5,0.0011770789680565516
F15,Times6,0.020436968720174066
F15,Times7,0.0011278900315701442
F15,Times8,0.0007999728620597069
F15,Times9,0.020363340325928795
F15,Times10,0.0008313623564393032
F15,Times11,0.0007200343203037312
F15,Times12,0.020524264050711512
F15,Times13,0.02040174099950753
F15,Times14,0.0011964533659033151
F15,Times15,0.0007632014917118121
F15,Times16,0.0008418522527105489
F15,Times17,0.0009945631423743863
F15,Times18,0.0007620969296785043
F15,Times19,0.0012976540661098403
F15,Times20,0.020384127529478106
F16,Times1,-1.0315402525678417
F16,Times2,-1.0315566490104044
F16,Times3,-1.0315913720010148
F16,Times4,-1.0315656202775048
F16,Times5,-1.031557758874301
F16,Times6,-1.0316134259651748
F16,Times7,-1.0315638729481096
F16,Times8,-1.0315553421076755
F16,Times9,-1.0315250270073861
F16,Times10,-1.0315796742757326
F16,Times11,-1.0315050954763914
F16,Times12,-1.0315831998806673
F16,Times13,-1.0315237117416136
F16,Times14,-1.03157362038999
F16,Times15,-1.0315369556123306
F16,Times16,-1.031556754618385
F16,Times17,-1.0315951568719404
F16,Times18,-1.0315235987853852
F16,Times19,-1.031556293827294
F16,Times20,-1.0315741207382114
F17,Times1,0.3980702950676349
F17,Times2,0.39791571499762846
F17,Times3,0.3980373082427313
F17,Times4,0.3979130778572362
F17,Times5,0.39788745414965376
F17,Times6,0.3979780106422517
F17,Times7,0.3979334901880449
F17,Times8,0.3979351693174742
F17,Times9,0.398002818882059
F17,Times10,0.39805170828592473
F17,Times11,0.39788853476292907
F17,Times12,0.3979770237818716
F17,Times13,0.3978877504189491
F17,Times14,0.3980490096608218
F17,Times15,0.3979296730112214
F17,Times16,0.3979465081411
F17,Times17,0.3978875321723834
F17,Times18,0.398040645261986
F17,Times19,0.397982705229035
F17,Times20,0.39793896327700473
F18,Times1,3.000072461164727
