,,Combination1
F1,Times1,612.9895357649002
F1,Times2,483.99052631740966
F1,Times3,708.6264172045768
F1,Times4,494.4808058311067
F1,Times5,477.881911253737
F1,Times6,251.2899033418057
F1,Times7,118.12838950327644
F1,Times8,407.7073212203986
F1,Times9,346.25772759855244
F1,Times10,536.395661628241
F1,Times11,483.04559910437956
F1,Times12,475.23978305021086
F1,Times13,397.2742329987441
F1,Times14,701.4401393433345
F1,Times15,296.1874642556461
F1,Times16,480.6492770810143
F1,Times17,354.25585708190823
F1,Times18,442.14356281663316
F1,Times19,282.621142313867
F1,Times20,529.7379267748386
F2,Times1,124.0055914293558
F2,Times2,311.71161459244274
F2,Times3,316.6274586708353
F2,Times4,172.18790341420552
F2,Times5,106.54948965386515
F2,Times6,206.60462112633024
F2,Times7,651.5811008706161
F2,Times8,278.2195731593491
F2,Times9,147.27440452004572
F2,Times10,320.2694333172202
F2,Times11,114.48211422404322
F2,Times12,410.75961824944477
F2,Times13,145.75605989323583
F2,Times14,126.82780973879896
F2,Times15,147.97624647320978
F2,Times16,62.226062407452275
F2,Times17,162.85400945905857
F2,Times18,478.715937803457
F2,Times19,256.54368706833185
F2,Times20,320.3098107207299
F3,Times1,364.3526789603523
F3,Times2,422.5758393027196
F3,Times3,223.18169113806064
F3,Times4,213.66798138405625
F3,Times5,478.1626643338553
F3,Times6,418.5576603451881
F3,Times7,457.8789126587445
F3,Times8,464.94174833969583
F3,Times9,501.65164071792435
F3,Times10,364.4950737531649
F3,Times11,513.6328739102033
F3,Times12,441.5290291606257
F3,Times13,468.6164334528508
F3,Times14,363.58020920042065
F3,Times15,366.50555500074597
F3,Times16,252.97522477282573
F3,Times17,265.46773755256044
F3,Times18,327.8926705920802
F3,Times19,513.5532796787585
F3,Times20,465.86065450800004
F5,Times1,141.39335620630877
F5,Times2,109.47684227720382
F5,Times3,118.90448022065193
F5,Times4,140.95921248940863
F5,Times5,224.09477918897375
F5,Times6,205.93327073798537
F5,Times7,85.2044118056134
F5,Times8,159.61618157127822
F5,Times9,93.0549126300615
F5,Times10,557.4075722980075
F5,Times11,129.86725276394347
F5,Times12,162.5134061043256
F5,Times13,141.00022954405085
F5,Times14,116.26082474739334
F5,Times15,98.6693297549855
F5,Times16,118.03120710119872
F5,Times17,96.97681567865412
F5,Times18,165.0432004922162
F5,Times19,106.9924710949853
F5,Times20,149.58736580541856
F6,Times1,459.87823352745863
F6,Times2,236.78372711993458
F6,Times3,1557.5154495200336
F6,Times4,418.7181669216729
F6,Times5,609.164854538198
F6,Times6,1491.0753266450595
F6,Times7,832.7742425183505
F6,Times8,504.7124861591807
F6,Times9,251.9322634418567
F6,Times10,501.45725610955395
F6,Times11,752.7158172621733
F6,Times12,976.2484356036545
